Unnamed: 0,calendar_date,avg_temperature,high_temperature,low_temperature,hours_sunlight,avg_local_pressure
463,2017-04-08,7.8,13.3,3.6,0.1,868.5
464,2017-04-09,6.7,11.0,0.9,0.1,863.5
465,2017-04-10,2.6,7.8,-1.9,9.7,871.2
466,2017-04-11,1.6,6.0,-2.6,0.0,862.3
467,2017-04-12,4.1,7.9,-0.7,9.6,857.4
468,2017-04-13,1.0,3.4,-2.9,12.4,865.4
469,2017-04-14,6.2,13.7,-1.7,11.5,870.5
470,2017-04-15,7.7,14.0,2.5,8.4,868.8
471,2017-04-16,10.6,16.1,2.4,11.2,870.0
472,2017-04-17,9.6,15.5,4.6,3.5,869.1
473,2017-04-18,11.6,20.5,4.5,8.2,852.7
474,2017-04-19,5.4,11.1,0.2,5.1,855.5
475,2017-04-20,6.0,12.8,-1.1,8.6,865.9
476,2017-04-21,6.6,9.5,3.4,0.9,863.6
477,2017-04-22,5.0,10.6,1.2,4.3,862.7
478,2017-04-23,3.8,9.5,-2.3,10.6,869.8
479,2017-04-24,5.1,11.5,-1.2,11.0,878.3
480,2017-04-25,6.6,14.0,0.3,11.2,878.1
481,2017-04-26,7.1,11.3,2.8,0.8,868.9
482,2017-04-27,5.6,10.0,-0.6,7.2,860.7
483,2017-04-28,4.0,9.7,-1.7,5.1,862.4
484,2017-04-29,5.9,12.9,0.3,6.4,862.1
485,2017-04-30,9.0,16.4,-0.1,12.7,866.1
486,2017-05-01,7.9,12.7,3.1,2.7,868.4
487,2017-05-02,6.9,14.0,-1.0,12.7,876.4
488,2017-05-03,8.6,16.3,0.3,11.2,880.5
489,2017-05-04,9.4,16.4,3.4,11.5,878.1
490,2017-05-05,10.3,17.1,1.9,9.7,872.7
491,2017-05-06,12.9,20.0,5.8,4.3,868.6
492,2017-05-07,12.0,17.8,7.8,10.1,864.8
493,2017-05-08,12.2,17.5,4.8,12.7,866.0
494,2017-05-09,9.9,14.0,5.7,0.6,873.0
495,2017-05-10,9.2,12.3,7.3,0.8,868.5
496,2017-05-11,11.3,14.0,8.0,6.6,865.5
497,2017-05-12,12.6,17.6,8.2,5.9,871.5
498,2017-05-13,9.4,10.6,8.2,0.0,867.6
499,2017-05-14,9.0,11.0,6.6,0.0,867.7
500,2017-05-15,9.2,11.6,7.6,0.4,867.0
501,2017-05-16,10.0,16.2,5.8,9.0,865.4
502,2017-05-17,7.8,8.8,6.8,0.0,866.6
503,2017-05-18,8.5,11.9,5.5,1.2,871.0
504,2017-05-19,10.7,16.6,3.2,8.7,873.3
505,2017-05-20,14.0,21.9,5.6,12.9,874.0
506,2017-05-21,16.0,23.8,8.0,12.7,875.0
507,2017-05-22,16.3,24.0,10.0,11.5,873.8
508,2017-05-23,14.9,20.9,8.1,9.4,870.4
509,2017-05-24,12.4,14.5,10.0,0.2,867.7
510,2017-05-25,11.6,13.7,9.5,0.3,865.3
511,2017-05-26,10.8,11.9,8.9,0.0,863.6
512,2017-05-27,10.6,12.1,9.2,0.0,865.3
513,2017-05-28,10.8,17.5,5.9,6.0,868.8
514,2017-05-29,12.2,18.2,4.8,9.2,870.8
515,2017-05-30,15.8,22.4,8.9,12.4,869.7
516,2017-05-31,16.7,21.8,12.5,4.6,866.9
