Unnamed: 0,calendar_date,avg_temperature,high_temperature,low_temperature,hours_sunlight,deepest_snowfall
504,2017-05-19,16.0,24.3,8.2,12.0,0
505,2017-05-20,17.8,26.8,8.8,12.1,0
506,2017-05-21,20.0,30.8,10.4,12.1,0
507,2017-05-22,20.2,29.4,12.3,10.7,0
508,2017-05-23,20.1,27.8,12.5,11.0,0
509,2017-05-24,16.2,19.7,13.1,0.2,0
510,2017-05-25,14.7,17.9,11.4,0.1,0
511,2017-05-26,13.6,15.5,12.0,0.0,0
512,2017-05-27,14.3,19.4,11.4,6.4,0
513,2017-05-28,14.0,18.5,8.6,8.8,0
514,2017-05-29,16.2,26.3,6.7,12.4,0
515,2017-05-30,19.8,29.1,11.4,12.0,0
516,2017-05-31,20.1,27.7,14.1,6.3,0
